Referans,Değer,Açıklama,Paket,Adet,LCSC Part No,Üretici,Üretici Part No,Kategori,Tahmini Fiyat (USD)
"# ═══════════════════════════════════════════════════════════════",,,,,,,,
"# APEXSAT AI v1.0 - Bill of Materials (BOM)",,,,,,,,
"# Tarih: 2026-02-20",,,,,,,,
"# Tasarımcı: Halil Dinçer - Dinçer Tavukçuluk / APEX Serisi",,,,,,,,
"# ═══════════════════════════════════════════════════════════════",,,,,,,,
,,,,,,,,
"# ─── ANA İŞLEMCİ (SoC) ──────────────────────────────────",,,,,,,,
U1,S905X4-J,"Quad-Core ARM Cortex-A55 @ 2.0GHz, Mali-G31 MP2, 1.2TOPS NPU",BGA-272,1,--,Amlogic,S905X4-J,SoC / İşlemci,$15.00
,,,,,,,,
"# ─── BELLEK ──────────────────────────────────────────────",,,,,,,,
U2,K4A8G165WC-BCWE,"DDR4 SDRAM 4Gbit (512MB x8), 3200MHz",FBGA-96,4,--,Samsung,K4A8G165WC-BCWE,DRAM,$2.00
U3,KLMAG1JETD-B041,"eMMC 5.1 32GB NAND Flash",FBGA-153,1,--,Samsung,KLMAG1JETD-B041,Flash Storage,$6.00
J1,--,"microSD Kart Yuvası (UHS-I, push-push)",SMD,1,C585356,XKB,XKTF-003,Konnektör,$0.30
,,,,,,,,
"# ─── DVB-S2 FRONTEND ────────────────────────────────────",,,,,,,,
M1,DVB-S2-NIM,"DVB-S2 NIM Modülü (CX24116 tabanlı) - BSBE2 uyumlu",Through-Hole,1,--,Sharp/Compatible,BSBE2-401A,RF Modül,$12.00
U4,LNBH26PQR,"LNB güç kaynağı (13V/18V, 22kHz, DiSEqC)",QFN-24,1,C92461,STMicroelectronics,LNBH26PQR,LNB Power,$2.50
J2,F-Type-Female,"F-Tipi Dişi Konnektör 75Ω (LNB IN)",Through-Hole,1,C496200,Ckmtw,KH-F75K-1,RF Konnektör,$0.50
J3,F-Type-Female,"F-Tipi Dişi Konnektör 75Ω (LNB OUT - loop)",Through-Hole,1,C496200,Ckmtw,KH-F75K-1,RF Konnektör,$0.50
L1,4.7µH,"RF Choke Inductor, 500mA",0805,1,C1046,Sunlord,SDFL2012S4R7KTF,Inductor,$0.05
C_RF1,100nF,"Bypass Capacitor, 50V, X7R",0402,4,C307331,Samsung,CL05B104KO5NNNC,Capacitor,$0.01
C_RF2,10µF,"Decoupling, 25V, X5R",0805,2,C15850,Samsung,CL21A106KAYNNNE,Capacitor,$0.03
,,,,,,,,
"# ─── WiFi / Bluetooth ───────────────────────────────────",,,,,,,,
U5,RTL8822CS,"WiFi 5 (802.11ac) + BT 5.0 Combo Modül",LGA,1,--,Realtek,RTL8822CS,WiFi/BT,$4.00
J4,U.FL,"u.FL (IPEX) Anten Konnektör",SMD,2,C262608,HRS,U.FL-R-SMT-1(10),RF Konnektör,$0.15
ANT1,--,"Dual-Band WiFi Anten (2.4G+5G), kablo ile",External,1,--,Generic,--,Anten,$0.80
,,,,,,,,
"# ─── ETHERNET ───────────────────────────────────────────",,,,,,,,
U6,RTL8211F-CG,"Gigabit Ethernet PHY (RGMII)",QFN-48,1,C69264,Realtek,RTL8211F-CG,Ethernet PHY,$2.00
J5,RJ45-Magjack,"RJ45 Jack (LED'li, Entegre Manyetik)",Through-Hole,1,C386755,HR911105A,HR911105A,Konnektör,$1.00
R_ETH1,49.9Ω,"RGMII termination resistor",0402,4,C25130,UniOhm,0402WMF499JTCE,Resistor,$0.01
C_ETH1,100nF,"Ethernet bypass",0402,6,C307331,Samsung,CL05B104KO5NNNC,Capacitor,$0.01
Y1,25MHz,"Ethernet PHY Kristal Osilatör",3225,1,C13738,TXC,7B-25.000MAAJ-T,Crystal,$0.20
,,,,,,,,
"# ─── HDMI ───────────────────────────────────────────────",,,,,,,,
J6,HDMI-A-Female,"HDMI Type-A Dişi Konnektör (19pin)",SMD,1,C138388,Korean Hroparts,TYPE-A-19P-SMT,Konnektör,$0.40
U7,IP4791CZ12,"HDMI ESD Koruma (4-line TVS array)",SOT-886,1,C558460,Nexperia,IP4791CZ12,ESD Protection,$0.30
R_HDMI1,2.2kΩ,"HDMI pull-up",0402,4,C25879,UniOhm,0402WMF2201TCE,Resistor,$0.01
,,,,,,,,
"# ─── USB PORTLARI ───────────────────────────────────────",,,,,,,,
J7,USB-A-3.0,"USB 3.0 Type-A Dişi Konnektör",Through-Hole,1,C165948,Jing Extension,USB-A-3.0-DIP,Konnektör,$0.30
J8,USB-A-2.0,"USB 2.0 Type-A Dişi Konnektör",Through-Hole,2,C46407,Jing Extension,USB-A-2.0-DIP,Konnektör,$0.15
J9,USB-C-Female,"USB Type-C Dişi (Debug/OTG)",SMD,1,C165948,Korean Hroparts,TYPE-C-31-M-12,Konnektör,$0.25
U8,IP4220CZ6,"USB ESD Koruma",SOT-457,3,C111944,Nexperia,IP4220CZ6,ESD Protection,$0.15
,,,,,,,,
"# ─── SES ────────────────────────────────────────────────",,,,,,,,
J10,3.5mm-Jack,"3.5mm Audio Jack (4-pole TRRS, AV çıkış)",Through-Hole,1,C145822,XKB,PJ-325,Audio Konnektör,$0.20
J11,TOSLINK,"Optik SPDIF Konnektör",Through-Hole,1,C384664,Everlight,PLT133/T10W,Optik Konnektör,$0.80
U9,INMP441,"MEMS Dijital Mikrofon (I2S), -26dB SNR 61dB",LGA,2,C404616,InvenSense,INMP441ACEZ-R7,Mikrofon,$1.50
,,,,,,,,
"# ─── IR ALICI / VERICI ─────────────────────────────────",,,,,,,,
U10,TSOP38238,"IR Alıcı 38kHz, 45m menzil",Through-Hole,1,C16063,Vishay,TSOP38238,IR Alıcı,$0.30
D1,IR-LED,"Kızılötesi LED 940nm (IR Blaster, opsiyonel)",3mm,1,C72054,Everlight,IR333-A,IR LED,$0.10
,,,,,,,,
"# ─── GÜÇ KAYNAĞI REGÜLATÖRLERİ ────────────────────────",,,,,,,,
J12,DC-BARREL,"DC Barrel Jack 5.5x2.1mm",Through-Hole,1,C381116,XKB,DC-005-20A,Güç Konnektör,$0.20
U11,MP2315,"5V/3A Step-Down Regülatör (12V→5V)",TSOT-23-8,1,C75803,MPS,MP2315GJ-Z,Voltage Regulator,$0.50
U12,AP2112K-3.3,"3.3V/600mA LDO Regülatör",SOT-23-5,2,C51118,Diodes Inc,AP2112K-3.3TRG1,LDO,$0.10
U13,RT9193-18,"1.8V/300mA LDO (DDR4 VDD)",SOT-23-5,1,C15651,Richtek,RT9193-18GB,LDO,$0.15
U14,MP8759,"0.9V/3A Buck (SoC Core)",QFN-12,1,--,MPS,MP8759GD-Z,DC-DC,$1.50
