# ═══════════════════════════════════════════════════════════════
# APEXSAT AI v1.0 - JLCPCB SMT Komponent Listesi
# Tarih: 2026-02-20 | Revizyon: A
# Tasarımcı: Halil Dinçer - Dinçer Tavukçuluk / APEX Serisi
# ═══════════════════════════════════════════════════════════════
# Format: JLCPCB SMT Assembly BOM uyumlu
# Basic = JLCPCB stokta, ek ücret yok
# Extended = JLCPCB temin eder, $3 ek ücret/benzersiz parça
# ═══════════════════════════════════════════════════════════════
Designator,Value,LCSC Part #,Package/Footprint,Description,Manufacturer,MPN,SMT Type,Qty,Unit Price (USD),Total Price (USD),Category,Notes
#
# ═══════════════════════════════════════════════════════════════
# 1. ANA İŞLEMCİ (SoC) - Manuel Lehim
# ═══════════════════════════════════════════════════════════════
U1,S905X4-J,--,BGA-272,"Quad Cortex-A55 2.0GHz, Mali-G31, 1.2T NPU",Amlogic,S905X4-J,Manuel,1,$15.00,$15.00,SoC,"BGA - JLCPCB SMT desteklemez, manuel/reflow"
#
# ═══════════════════════════════════════════════════════════════
# 2. BELLEK (DDR4 + eMMC) - Manuel Lehim
# ═══════════════════════════════════════════════════════════════
U2-U5_DDR,K4A8G165WC-BCWE,--,FBGA-96,"DDR4 SDRAM 4Gbit 3200MHz x8",Samsung,K4A8G165WC-BCWE,Manuel,4,$2.00,$8.00,DRAM,"BGA - manuel reflow, DDR4 32-bit bus"
U6_EMMC,KLMAG1JETD-B041,--,FBGA-153,"eMMC 5.1 32GB NAND Flash",Samsung,KLMAG1JETD-B041,Manuel,1,$6.00,$6.00,Flash,"BGA-153 - manuel reflow"
#
# ═══════════════════════════════════════════════════════════════
# 3. GÜÇ KAYNAĞI REGÜLATÖRLERİ
# ═══════════════════════════════════════════════════════════════
U11,MP2315GJ-Z,C45889,TSOT-23-8,"12V→5V 3A Step-Down Buck",MPS,MP2315GJ-Z,Extended,1,$0.49,$0.49,DC-DC,"Ana 5V buck, Fsw=500kHz"
U16,MP1584EN-LF-Z,C15051,SOIC-8-EP,"12V→3.3V 3A Step-Down Buck",MPS,MP1584EN-LF-Z,Extended,1,$0.55,$0.55,DC-DC,"★ Ana 3.3V (AP2112K LDO yerine)"
U15,SY8088AAC,C79313,SOT-23-5,"5V→0.9V 1A Buck (SoC Core)",Silergy,SY8088AAC,Extended,1,$0.049,$0.049,DC-DC,"VDDCORE, 1. açılan, Vin 2.5-5.5V"
U14,MP8759GD-Z,C3187827,QFN-12 (3x3),"5V→1.1V 2A Buck (GPU/DDR4)",MPS,MP8759GD-Z,Extended,1,$1.50,$1.50,DC-DC,"VDDGPU+VDDQ, 2. açılan, PGOOD çıkış"
U13,RT9193-18GB,C27416,SOT-23-5,"1.8V 300mA LDO (DDR4 VDD)",Richtek,RT9193-18GB,Extended,1,$0.054,$0.054,LDO,"3. açılan, EN=PGOOD_1.1V"
U12,AP2112K-3.3TRG1,C51118,SOT-23-5,"3.3V 600mA LDO (RF bölüm)",Diodes Inc,AP2112K-3.3TRG1,Extended,1,$0.078,$0.078,LDO,"Sadece RF 3.3V, düşük gürültü"
#
# ═══════════════════════════════════════════════════════════════
# 4. DVB-S2 UYDU FRONTEND
# ═══════════════════════════════════════════════════════════════
